"id_category";"title";"description";"image";"total_interest";"total_post";"total_like";"total_trivia";"flag";"status";"date_created";"date_updated";"id_category_up";"private";"group";"latitude";"location";"id_owner";"fun";"subscribe_fcm";"lat";"lng";"country"
118;"Other";"Divers. Otros grupos.";"https://hobbies.fboys.app/upload/assets/categs/buzz.jpg";4;0;0;0;1;1;"2022-03-09 22:47:41";"2022-03-23 12:05:27";0;0;0;"";"";8;0;"";0.0;0.0;"FR"
119;"Associations";"Rights, militantism and associations";"https://hobbies.fboys.app/upload/assets/categs/associations.webp";2;0;0;0;1;1;"2022-03-09 22:58:25";"2022-03-26 11:38:54";0;0;0;"";"";8;0;"";0.0;0.0;"FR"
120;"Clubbing";"Clubbing";"https://hobbies.fboys.app/upload/assets/categs/clubbing.jpg";16;1;0;0;1;1;"2022-03-09 23:31:02";"2022-03-23 13:30:12";103;0;1;"";"";8;0;"";0.0;0.0;"FR"
121;"Bars";"Prendre un verre. Salir de copas.";"https://hobbies.fboys.app/upload/assets/categs/bar.jpg";6;0;0;0;1;1;"2022-03-09 23:33:17";"2022-03-23 10:06:35";103;0;1;"";"";8;0;"";0.0;0.0;"FR"
122;"Concerts";"Conciertos";"https://hobbies.fboys.app/upload/assets/categs/concerts.jpg";11;3;0;0;1;1;"2022-03-09 23:36:32";"2022-04-01 15:11:32";101;0;1;"";"";8;0;"";0.0;0.0;"FR"
123;"Eating out";"Sortir à manger. Salir a comer.";"https://hobbies.fboys.app/upload/assets/categs/eat.jpg";4;0;0;0;1;1;"2022-03-09 23:38:00";"2022-03-23 10:58:05";101;0;1;"";"";8;0;"";0.0;0.0;"FR"
124;"Geek";"Computering, Geek, Games";"https://hobbies.fboys.app/upload/assets/categs/geek.jpg";9;0;0;0;1;1;"2022-03-09 23:39:38";"2022-03-09 23:39:38";100;0;1;"";"";8;0;"";0.0;0.0;"FR"
125;"Poz";"Positive";"https://hobbies.fboys.app/upload/assets/categs/poz.jpg";3;0;0;0;1;1;"2022-03-09 23:41:22";"2022-03-09 23:41:28";119;0;1;"";"";8;0;"";0.0;0.0;"FR"
127;"Handicap";"Handicap";"https://hobbies.fboys.app/upload/assets/categs/handicap.jpg";3;1;0;0;1;1;"2022-03-09 23:51:40";"2022-04-24 22:32:02";119;0;1;"";"";8;0;"";0.0;0.0;"FR"
129;"Meditation";"Meditation";"https://hobbies.fboys.app/upload/assets/categs/meditation.jpg";3;0;0;0;1;1;"2022-03-10 00:03:29";"2022-03-10 00:03:29";102;0;1;"";"";8;0;"";0.0;0.0;"FR"
130;"Private Party";"Fêtes privées. Fiestas privadas.";"https://hobbies.fboys.app/upload/assets/categs/party.jpg";101;9;8;0;1;0;"2022-03-10 09:41:59";"2022-05-05 01:20:07";0;0;0;"";"";1;1;"";0.0;0.0;"FR"
131;"Fetish";" Fétiches. Fetiches.";"https://hobbies.fboys.app/upload/assets/categs/bdsm.jpg";8;1;0;0;1;0;"2022-03-10 10:10:04";"2022-03-26 11:38:35";0;0;0;"";"";1;1;"";0.0;0.0;"FR"
132;"Multiethnic";"Multiéthnique. Multiétnico.";"https://hobbies.fboys.app/upload/assets/categs/multiethnic.PNG";6;0;0;0;1;0;"2022-03-10 10:32:27";"2022-03-10 10:44:59";131;0;0;"";"";1;1;"";0.0;0.0;"FR"
133;"Cruising";"Cruising. Ligoteo.";"https://hobbies.fboys.app/upload/assets/categs/cruising4.jpg";14;0;0;0;1;0;"2022-03-10 10:36:49";"2022-03-26 11:38:24";0;0;0;"";"";1;1;"";0.0;0.0;"FR"
134;"Practices";"Pratiques. Prácticas";"https://hobbies.fboys.app/upload/assets/categs/Proteccion.PNG";106;2;2;0;1;0;"2022-03-10 10:44:47";"2022-05-01 09:13:40";0;0;0;"";"";1;1;"";0.0;0.0;"FR"
